imo,name,ship_type,build_year,gross_tonnage,DWT
9412359,BELGOROD,Crude Oil Tanker,2010,83747,156694
9412995,KRUGER,Crude Oil Tanker,2009,55898,105355
9413547,AMULET,Crude Oil Tanker,2009,62433,111107
9413559,ANTARKTIKA,Crude Oil Tanker,2009,62433,111107
9413561,ALLIANCE,Crude Oil Tanker,2009,62433,111682
9413573,ARCADIA,Crude Oil Tanker,2009,62433,111682
9417115,KOTI,oil tanker,2008,5182,8008
9417490,ARABIAN ENERGY,Chemical/Oil Products Tanker,2008,6149,9285
9418078,ELIZA II,Crude Oil Tanker,2009,164680,317977
9418482,CETUS,Crude Oil Tanker,2009,60325,105369
9418494,ZALIV ANIVA,Crude Oil Tanker,2009,60325,102946
9418509,OMSK,Oil Products Tanker,2008,3606,5373
9419137,SIKAR,Crude Oil Tanker,2010,62775,112777
9419151,WU TAI,Crude Oil Tanker,2010,62775,112795
9419448,RUTON,Crude Oil Tanker,2009,61618,115655
9420617,ZANGAZUR,Crude Oil Tanker,2010,60379,107507
9421960,PRIMORYE,Crude Oil Tanker,2009,84029,158070
9421972,SPARTAN,Crude Oil Tanker,2010,84029,158070
9422445,SIRIUS,Crude Oil Tanker,2009,81415,158096
9422457,BOBCAT,Crude Oil Tanker,2010,81415,158097
9422653,TYUMEN,Chemical/Oil Products Tanker,2008,1921,2959
9422847,GLOBAL EAGLE,Chemical/Oil Products Tanker,2007,5256,9040
9422859,GLOBAL HAWK,Chemical/Oil Products Tanker,2007,5256,9010
9422988,VOLANS,Crude Oil Tanker,2009,54916,99876
9423322,APOLLO OCEAN,LPG Tanker,2010,46025,49999
9424651,MANTA,Oil Products Tanker,2009,28231,46592
9427146,SHIVA,Bitumen Tanker,2007,8580,11891
9428358,SONA,Oil Products Tanker,2009,30006,49999
9430210,GOGLAND,Chemical/Oil Products Tanker,2018,3568,4450
9433016,APATE,Oil Products Tanker,2009,42340,74862
9434890,NAUTILUS,Crude Oil Tanker,2010,60185,108835
