IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9585895,DELTA SUPREME,81187,Crude Oil Tanker,Suezmax,2012,Golden Stena Bulk,Liberia (LBR),CCS,14/6/2017,YES, ,YES,,YES
9585883,MONTESTENA,81187,Crude Oil Tanker,Suezmax,2012,CEPSA,Portugal (MAR) (PMD),BV,6/5/2017,, , ,,
9592214,STENA SUNRISE,81187,Crude Oil Tanker,Suezmax,2013,Golden Stena Bulk,Bermuda (BMU),BV,11/2/2018,, , ,,
9902823,ECO MALIBU,81206,Crude Oil Tanker,Suezmax,2021,Gunvor,Marshall Islands (MHL),ABS,10/5/2021,, , ,,
9902811,ECO WEST COAST,81206,Crude Oil Tanker,Suezmax,2021,Gunvor,Marshall Islands (MHL),ABS,25/3/2021,, , ,,
9887308,KRITI HERO,81209,Crude Oil Tanker,Suezmax,2021,Motor Oil Hellas (MOH),Liberia (LBR),LRS,20/1/2021,, , ,,
9887255,KRITI KING,81209,Crude Oil Tanker,Suezmax,2021,Motor Oil Hellas (MOH),Liberia (LBR),LRS,5/1/2021,, , ,,
9203772,AGAPE SOUL,81230,Crude Oil Tanker,Suezmax,2001,OCM MARITIME TEVERE LLC,Liberia (LBR),ABS,31/8/2021,, , ,,
9579030,STENA SUPERIOR,81232,Crude Oil Tanker,Suezmax,2011,Golden Stena Bulk,Bermuda (BMU),BV,21/10/2016,, , ,,
9233741,HALI,81236,Crude Oil Tanker,Suezmax,2003,OPEC PETROL TRANSPORTATION CO,Vietnam (VNM),ABS,26/6/2018,, , ,,
9189146,MEMPHIS,81236,Crude Oil Tanker,Suezmax,2001,KOBAN SHIPPING LLC,Panama (PAN),CCS,17/12/2021,,YES,YES,,YES
9232929,CAPE BELLA V,81270,Crude Oil Tanker,Suezmax,2002,EDGE MARITIME INC,Cyprus (CYP),RINA,17/11/2022,, , ,,
9230505,NEW LEGEND,81270,Crude Oil Tanker,Suezmax,2002,New Shipping,Liberia (LBR),BV,29/9/2017,, , ,,
9230517,NEW PRIDE,81270,Crude Oil Tanker,Suezmax,2002,New Shipping,Liberia (LBR),BV,19/8/2017,, , ,,
9248825,SAINT MARCELLA,81270,Crude Oil Tanker,Suezmax,2003,NAVIG8,Cyprus (CYP),NV,21/5/2018,, , ,,
9248813,TJATSE,81270,Crude Oil Tanker,Suezmax,2003,HIGO TANKERS PTE LTD,Panama (PAN),NV,8/6/2018,,YES, ,YES,YES
9458494,ACHILLEAS,81278,Crude Oil Tanker,Suezmax,2010,Livanos Group,Greece (GRC),ABS,21/8/2020,, , ,,
9524449,RIDGEBURY ELIZABETH B,81282,Crude Oil Tanker,Suezmax,2011,NAVIG8,Marshall Islands (MHL),ABS,5/4/2016,, , ,,
9524451,SABLE,81282,Crude Oil Tanker,Suezmax,2011,K&O SHIPMANAGEMENT FZE,Panama (PAN),ABS,27/5/2016,, , ,,
9524463,SAKARYA,81282,Crude Oil Tanker,Suezmax,2011,K&O SHIPMANAGEMENT FZE,Panama (PAN),ABS,1/7/2016,, , ,,
9524475,SUEZ RAJAN,81282,Crude Oil Tanker,Suezmax,2011,Empire Navigation,Marshall Islands (MHL),ABS,10/6/2016,,YES, ,,YES
9750050,DILIGENT WARRIOR,81287,Crude Oil Tanker,Suezmax,2016,Polembros Shipping,Greece (GRC),ABS,10/5/2021,, , ,,
9750062,FAITHFUL WARRIOR,81287,Crude Oil Tanker,Suezmax,2016,Polembros Shipping,Greece (GRC),ABS,8/5/2016,, , ,,
9753545,PRUDENT WARRIOR,81287,Crude Oil Tanker,Suezmax,2017,Polembros Shipping,Greece (GRC),ABS,11/1/2017,, , ,,
9753557,RELIABLE WARRIOR,81287,Crude Oil Tanker,Suezmax,2017,Polembros Shipping,Greece (GRC),ABS,27/4/2017,, , ,,
9700706,DELTA EURYDICE,81293,Crude Oil Tanker,Suezmax,2015,DELTA,Liberia (LBR),CCS,6/7/2020,, ,YES,,
9364112,TOUR 2,81295,Crude Oil Tanker,Suezmax,2007,KHADIJA SHIP MANAGEMENT PVT,Iran (IRN),PRS,16/1/2020,, , ,,YES
9533995,STENA SURPRISE,81299,Crude Oil Tanker,Suezmax,2012,Golden Stena Bulk,Liberia (LBR),LRS,13/5/2017,, , ,,
9422366,CONSTANTIOS,81306,Crude Oil Tanker,Suezmax,2009,Trafigura,Liberia (LBR),BV,17/10/2019,, , ,,
9797228,NORDIC THUNDER,81308,Crude Oil Tanker,Suezmax,2017,Nordic American Tanker,Marshall Islands (MHL),ABS,21/6/2017,, , ,,
9233777,AMETHYST MTS,81310,Crude Oil Tanker,Suezmax,2003,Shell,Cyprus (CYP),RINA,4/1/2022,, , ,,
9233765,AULIS,81310,Crude Oil Tanker,Suezmax,2003,Nordic American Tanker,Marshall Islands (MHL),NV,13/12/2017,, , ,YES,
9224271,MARIA GRACE,81310,Crude Oil Tanker,Suezmax,2002,GRIT SHIP MANAGEMENT PVT LTD,Marshall Islands (MHL),NV,5/9/2017,,YES, ,YES,YES
9248423,NORDIC APOLLO,81310,Crude Oil Tanker,Suezmax,2003,Nordic American Tanker,Marshall Islands (MHL),NV,10/8/2018,, , ,,
9224283,SOL PRIDE,81310,Crude Oil Tanker,Suezmax,2002,Brijwasi Shipping,St.Kitts and Nevis (KNA),NV,29/6/2017,, , ,YES,
9808326,DIADEMA,26548,Chemical/Oil Products Tanker,MR,2018,MERCURIA,Bahamas (BHS),LRS,22/2/2018,, , ,,
9565950,DIMITRIS P,81314,Crude Oil Tanker,Suezmax,2011,TSAKOS ENERGY,Liberia (LBR),ABS,30/7/2016,, , ,,
